Ref,Val,Package,PosX,PosY,Rot,Side
"BT2","MS621FE-FL11E","BAT_MS621FE-FL11E",58.351582,-9.260000,0.000000,bottom
"D11","BAT54C","SOT-23",62.834082,-14.680000,180.000000,bottom
"IC1","XTSD04GLGEAG","SON127P800X600X95-8N",58.500000,-2.000000,0.000000,bottom
"MOSFET1","DMG6968UDM-7","DMG6968UDM-7",7.331582,-7.760000,180.000000,bottom
"Q4","AO3401A","SOT-23",23.650000,-18.162500,-90.000000,bottom
"Q5","AP2300","SOT-23",27.150000,-18.162500,-90.000000,bottom
"Q9","AO3401A","SOT-23",30.650000,-18.162500,-90.000000,bottom
"Q10","AP2300","SOT-23",34.150000,-18.162500,-90.000000,bottom
"Q16","AO3400A","SOT-23",42.312500,-6.700000,180.000000,bottom
"Q17","AO3401A","SOT-23",38.425000,-5.175000,0.000000,bottom
"R1","0R","R_0603_1608Metric",2.611582,-5.210000,0.000000,bottom
"R27","2R","R_2512_6332Metric",23.900000,-12.337500,-90.000000,bottom
"R47","2R","R_2512_6332Metric",30.850000,-12.337500,-90.000000,bottom
"U2","AP9101CK6","SOT-23-6",2.931582,-7.750000,180.000000,bottom
"U4","RFM95W-915S2","HOPERF_RFM9XW_SMD",76.500000,-13.395695,-90.000000,bottom
"U5","MCP2551-I-SN","SOIC-8_3.9x4.9mm_P1.27mm",41.750000,-16.875000,-90.000000,bottom
